Name,Critic_Score,Developer
Wii Sports,76,Nintendo
Mario Kart Wii,82,Nintendo
Wii Sports Resort,80,Nintendo
New Super Mario Bros.,89,Nintendo
Wii Play,58,Nintendo
New Super Mario Bros. Wii,87,Nintendo
Mario Kart DS,91,Nintendo
Wii Fit,80,Nintendo
Kinect Adventures!,61,Good Science Studio
Wii Fit Plus,80,Nintendo
Grand Theft Auto V,97,Rockstar North
Grand Theft Auto: San Andreas,95,Rockstar North
Brain Age: Train Your Brain in Minutes a Day,77,Nintendo
Grand Theft Auto V,97,Rockstar North
Grand Theft Auto: Vice City,95,Rockstar North
Brain Age 2: More Training in Minutes a Day,77,Nintendo
Gran Turismo 3: A-Spec,95,Polyphony Digital
Call of Duty: Modern Warfare 3,88,"Infinity Ward, Sledgehammer Games"
Call of Duty: Black Ops,87,Treyarch
Call of Duty: Black Ops II,83,Treyarch
Call of Duty: Black Ops II,83,Treyarch
Call of Duty: Modern Warfare 2,94,Infinity Ward
Call of Duty: Modern Warfare 3,88,"Infinity Ward, Sledgehammer Games"
Grand Theft Auto III,97,DMA Design
Super Smash Bros. Brawl,93,Game Arts
Mario Kart 7,85,"Retro Studios, Entertainment Analysis & Development Division"
Call of Duty: Black Ops,88,Treyarch
Grand Theft Auto V,97,Rockstar North
Animal Crossing: Wild World,86,Nintendo
Halo 3,94,"Bungie Software, Bungie"
Gran Turismo 4,89,Polyphony Digital
Super Mario Galaxy,97,Nintendo
Grand Theft Auto IV,98,Rockstar North
Gran Turismo,96,Polyphony Digital
Super Mario 3D Land,90,Nintendo
Gran Turismo 5,84,Polyphony Digital
Call of Duty: Modern Warfare 2,94,Infinity Ward
Grand Theft Auto IV,98,Rockstar North
Call of Duty: Ghosts,73,Infinity Ward
Just Dance 3,74,Ubisoft
New Super Mario Bros. 2,78,Nintendo
Halo: Reach,91,Bungie
Final Fantasy VII,92,SquareSoft
Halo 4,87,343 Industries
Gran Turismo 2,93,Polyphony Digital
Just Dance 2,74,Ubisoft
Call of Duty: Ghosts,71,Infinity Ward
Call of Duty 4: Modern Warfare,94,Infinity Ward
Animal Crossing: New Leaf,88,Nintendo
Mario Party DS,72,Hudson Soft
The Elder Scrolls V: Skyrim,96,Bethesda Game Studios
FIFA 16,82,EA Sports
Halo 2,95,Bungie Software
Wii Party,68,Nd Cube
Mario Party 8,62,Hudson
FIFA Soccer 13,88,Electronic Arts
Final Fantasy X,92,SquareSoft
The Sims 3,86,The Sims Studio
Final Fantasy VIII,90,SquareSoft
Pokémon Platinum Version,83,Game Freak
Grand Theft Auto: Liberty City Stories,88,Rockstar Leeds
Call of Duty: Advanced Warfare,83,Sledgehammer Games
FIFA 17,85,"EA Sports, EA Vancouver"
Super Mario Galaxy 2,97,Nintendo EAD Tokyo
Call of Duty: World at War,84,Treyarch
Battlefield 3,84,EA DICE
Need for Speed Underground,85,EA Black Box
Just Dance,49,Ubisoft Paris
Battlefield 3,85,EA DICE
Fallout 4,87,Bethesda Game Studios
Tekken 3,96,Namco
The Legend of Zelda: Twilight Princess,95,Nintendo
Crash Bandicoot 3: Warped,91,Naughty Dog
Mario Kart 8,88,Nintendo
Super Smash Bros. Melee,92,HAL Labs
Need for Speed Underground 2,82,EA Canada
Medal of Honor: Frontline,88,EA LA
Just Dance 4,74,Ubisoft
Gears of War 2,93,Epic Games
Uncharted 3: Drake's Deception,92,Naughty Dog
Call of Duty 4: Modern Warfare,94,Infinity Ward
Uncharted 2: Among Thieves,96,Naughty Dog
Big Brain Academy,74,Nintendo
Red Dead Redemption,95,Rockstar San Diego
FIFA 14,86,EA Canada
Assassin's Creed III,85,Ubisoft
Donkey Kong Country Returns,87,Retro Studios
Halo: Combat Evolved,97,Bungie Software
The Elder Scrolls V: Skyrim,92,Bethesda Game Studios
Pokémon Emerald Version,76,Game Freak
Kingdom Hearts,85,SquareSoft
Halo 3: ODST,83,"Bungie Software, Bungie"
Red Dead Redemption,95,Rockstar San Diego
Super Mario Sunshine,92,Nintendo
World of Warcraft,93,Blizzard Entertainment
Driver,87,Reflections Interactive
Gears of War 3,91,Epic Games
Kinect Sports,73,Rare Ltd.
Gears of War,94,Epic Games
FIFA 15,82,EA Sports
Metal Gear Solid 2: Sons of Liberty,96,KCEJ
Metal Gear Solid,94,KCEJ
Metal Gear Solid 4: Guns of the Patriots,94,Kojima Productions
Final Fantasy XII,92,Square Enix
The Last of Us,95,Naughty Dog
LittleBigPlanet,95,"SCE/WWS, Media Molecule"
Resident Evil 2,89,Capcom
Dragon Quest IX: Sentinels of the Starry Skies,87,Level 5
Tekken 2,89,Namco
Destiny,76,"Bungie Software, Bungie"
LEGO Star Wars: The Complete Saga,80,Traveller's Tales
Cooking Mama,67,Taito Corporation
Assassin's Creed II,91,Ubisoft Montreal
Assassin's Creed,81,Ubisoft Montreal
Forza Motorsport 3,92,Turn 10
Super Mario Advance,84,Nintendo
Monster Hunter Freedom Unite,81,Capcom
Batman: Arkham City,96,Rocksteady Studios
Grand Theft Auto V,97,Rockstar North
Mario Kart: Super Circuit,93,Intelligent Systems
Crash Bandicoot: The Wrath of Cortex,66,Traveller's Tales
Call of Duty: World at War,85,Treyarch
Uncharted 4: A Thief's End,93,Naughty Dog
Final Fantasy XIII,83,Square Enix
Final Fantasy IX,94,SquareSoft
Assassin's Creed III,84,Ubisoft
Final Fantasy X-2,85,SquareSoft
Call of Duty: Advanced Warfare,81,Sledgehammer Games
Assassin's Creed II,90,Ubisoft Montreal
Madden NFL 2004,94,EA Tiburon
New Super Mario Bros. U,84,Nintendo
