Name,Platform,Global_Sales
Wii Sports,Wii,82.53
Mario Kart Wii,Wii,35.52
Wii Sports Resort,Wii,32.77
New Super Mario Bros.,DS,29.8
Wii Play,Wii,28.92
New Super Mario Bros. Wii,Wii,28.32
Mario Kart DS,DS,23.21
Wii Fit,Wii,22.7
Kinect Adventures!,X360,21.81
Wii Fit Plus,Wii,21.79
Grand Theft Auto V,PS3,21.04
Grand Theft Auto: San Andreas,PS2,20.81
Brain Age: Train Your Brain in Minutes a Day,DS,20.15
Grand Theft Auto V,X360,16.27
Grand Theft Auto: Vice City,PS2,16.15
Brain Age 2: More Training in Minutes a Day,DS,15.29
Gran Turismo 3: A-Spec,PS2,14.98
Call of Duty: Modern Warfare 3,X360,14.73
Call of Duty: Black Ops,X360,14.61
Call of Duty: Black Ops II,PS3,13.79
Call of Duty: Black Ops II,X360,13.67
Call of Duty: Modern Warfare 2,X360,13.47
Call of Duty: Modern Warfare 3,PS3,13.32
Grand Theft Auto III,PS2,13.1
Super Smash Bros. Brawl,Wii,12.84
Mario Kart 7,3DS,12.66
Call of Duty: Black Ops,PS3,12.63
Grand Theft Auto V,PS4,12.61
Animal Crossing: Wild World,DS,12.13
Halo 3,X360,12.12
Gran Turismo 4,PS2,11.66
Super Mario Galaxy,Wii,11.35
Grand Theft Auto IV,X360,11.01
Gran Turismo,PS,10.95
Super Mario 3D Land,3DS,10.81
Gran Turismo 5,PS3,10.7
Call of Duty: Modern Warfare 2,PS3,10.6
Grand Theft Auto IV,PS3,10.5
Call of Duty: Ghosts,X360,10.25
Just Dance 3,Wii,10.12
New Super Mario Bros. 2,3DS,9.9
Halo: Reach,X360,9.86
Final Fantasy VII,PS,9.72
Halo 4,X360,9.71
Gran Turismo 2,PS,9.49
Just Dance 2,Wii,9.44
Call of Duty: Ghosts,PS3,9.36
Call of Duty 4: Modern Warfare,X360,9.31
Animal Crossing: New Leaf,3DS,9.16
Mario Party DS,DS,8.91
The Elder Scrolls V: Skyrim,X360,8.79
FIFA 16,PS4,8.57
Halo 2,XB,8.49
